name	kind	style	score	score_counts	first_release_time	play_status	official_name	tv_station	school	language	station_ranking	level	resource_views	collect_counts	translator	scenarist	starring	alias	director	cycle	area	company	imdb
全明星超人	电影	动作/科幻/动画	8.1		2011-02-22 周二		All Star Superman			英语	4266				暂无						美国		
我的唯一	电影		9.7				My One and Only				205				暂无								
猛鬼追魂2: 魔界追魂	电影	魔幻/恐怖	8.3		1988-09-09 周五		Hellbound.Hellraiser.II			英语	3906				暂无						美国		
上位	电影	动作/爱情	2.6		2013-02-28 周四		Struggle			国语	10107				暂无						大陆		
罪孽天使	电影	剧情/罪案	9.6		1994-02-03 周四		Heavenly Creatures			英语	301				暂无						法国		
搭车人	电影	动作/惊悚/罪案	7.3		2007-01-09 周二		The Hitcher			英语	6564				暂无						美国		
沼泽狂鲨	电影	科幻/恐怖/惊悚	2.0		2011-06-25 周六		Swamp Shark			英语	10133				暂无						美国	Bullet Films	
BBC 战争中的世界：二战全史	英剧	战争/历史/纪录	9.7		2003-10-03 周五		The World at War	BBC		英语/日语/德语/法语											英国		
心魔	电影	剧情	8.0		2009-08-10 周一		At The End Of Daybreak			国语/粤语	4702				暂无						其他		
天使在人间	电影	喜剧/魔幻	9.5		1987-11-20 周五		Date.With.An.Angel.			英语	527				暂无						美国		
艾曼妞2	电影	剧情	9.3		1975-12-15 周一		Emmanuelle: L'antivierge			法语	983				暂无						法国		
暗流2：末日天使	电影	动作/惊悚/罪案	7.6		2004-02-18 周三		Les rivières pourpres II - Les anges de l'apocalypse			法语	5865				暂无						法国		
桎梏	电影	动作/惊悚	2.7		2013-09-06 周五		Zanjeer			印度语	10087				暂无						印度	Prakash Mehra Productions	
审判长！肚子饿了！	日剧	喜剧/偶像/罪案	8.8		2013-10-05 周六		裁判長っ！おなか空きました！	NTV		日语											日本		
简爱	电影	剧情/爱情	7.9		1943-12-24 周五		Jane Eyre			英语	5215				暂无						美国		
无家可归的小孩 电影版	电影	剧情	9.5		1994-12-17 周六		家なき子 映画版/Ie naki ko			日语	527				暂无						日本		
芬妮	电影	剧情	9.0		2013-07-10 周三		Fanny			法语	1740				暂无						法国		
克朗代克	美剧	剧情/冒险	8.8		2014-01-20 周一		Klondike	探索频道		英语											美国		
100次哭泣	电影	爱情	7.5		2013-06-22 周六		100 Kai Naku Koto			日语	5930				暂无						日本	Showgate	
阿马尔菲：女神的报酬	电影	动作/剧情/惊悚/悬疑	8.4		2009-07-18 周六		Amalfi: Rewards of the Goddess			日语	3346				暂无						日本		
围捕	电影	战争/剧情/历史	7.5		2010-03-10 周三		La Rafle			德语/法语	6017				暂无						法国		
我的英雄	电影	剧情/喜剧	9.5		2012-12-12 周三		Mes héros			法语	555				暂无						法国		
狂奔	电影	剧情/喜剧	0.0		2012-10-17 周三		Au galop			法语	10860				暂无						法国		
相棒 XDAY	电影	罪案	8.1		2013-03-23 周六		Aibou XDAY			日语	4217				暂无						日本		
隐秘的恋情	电影	剧情/喜剧/爱情	0.0		2013-07-03 周三		Pour une femme			法语	10598				暂无						法国		
保龄球	电影	喜剧	2.0		2012-07-18 周三		Bowling			法语	10189				暂无						法国		
美好的时光	电影	剧情/喜剧	9.0		2013-06-19 周三		Les beaux jours			法语	1799				暂无						法国		
美丽坏东西	电影	剧情/惊悚/罪案	6.7		2002-12-13 周五		Dirty Pretty Things			英语	7765				暂无						英国		
爸爸的好儿子	电影	喜剧	7.3		2012-06-12 周二		That's My Boy			英语	6422				暂无						美国		
天地玄黄	纪录片	战争/纪录	9.3		1992-09-15 周二		Baraka	其他		其他											美国		
福岛核事故 13万避难者的选择	纪录片	纪录	8.2		2014-03-08 周六		NHK special	NHK		日语											日本		
北京大拥堵	纪录片	纪录	9.0		2013-09-07 周六		documentary wave	NHK		日语											日本		
地震,民间该如何自救	纪录片	纪录	9.0		2014-01-17 周五		NHK special	NHK		日语											日本		
龙樱	日剧	剧情/励志	9.6		2005-07-08 周五		Dragon Zakura	TBS		日语											日本		
不速之客	电影	惊悚	8.0		2014-09-05 周五		The Guest			英语	4141				暂无						美国	Snoot Entertainment  	
台北故宫	纪录片	历史/纪录	9.2		2014-06-28 周六		NHK SPECIAL	NHK		日语											日本		
